epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787908639.107465,2026-08-28T09:17:19+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,761812753.0,27094.0
1787908644.131486,2026-08-28T09:17:24+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,765559971.0,27249.0
1787908649.151571,2026-08-28T09:17:29+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,770547711.0,27404.0
1787908654.175195,2026-08-28T09:17:34+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,774850541.0,27559.0
1787908659.194539,2026-08-28T09:17:39+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,779455965.0,27714.0
1787908664.2134862,2026-08-28T09:17:44+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,783629706.0,27869.0
1787908669.233693,2026-08-28T09:17:49+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,787610265.0,28024.0
1787908674.25728,2026-08-28T09:17:54+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,792486639.0,28179.0
1787908679.268251,2026-08-28T09:17:59+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,796826993.0,28334.0
1787908684.2930949,2026-08-28T09:18:04+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,801432432.0,28489.0
1787908689.31846,2026-08-28T09:18:09+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,805747223.0,28644.0
1787908694.3436291,2026-08-28T09:18:14+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,809410180.0,28799.0
1787908699.363153,2026-08-28T09:18:19+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,814413074.0,28954.0
1787908704.388001,2026-08-28T09:18:24+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,817863397.0,29109.0
1787908709.4079528,2026-08-28T09:18:29+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,822633149.0,29264.0
1787908714.433302,2026-08-28T09:18:34+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,827620786.0,29419.0
1787908719.453547,2026-08-28T09:18:39+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,831347694.0,29574.0
1787908724.471461,2026-08-28T09:18:44+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,836173309.0,29729.0
1787908729.499521,2026-08-28T09:18:49+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,840062781.0,29884.0
